date,day,elapsed_seconds,solved,checked,revealed,streak_eligible,solve_date,first_opened_date
2020-04-03,Fri,5512,1,1,0,0,2020-04-05,2020-04-04
2020-04-08,Wed,4296,1,1,0,0,2020-04-07,2020-04-07
2020-04-09,Thu,3354,1,1,0,0,2020-04-09,2020-04-08
2020-04-10,Fri,4370,0,1,0,0,,2020-04-09
2020-04-11,Sat,1228,0,0,0,0,,2020-04-11
2020-04-15,Wed,3884,1,1,0,0,2020-04-19,2020-04-14
2020-04-16,Thu,4570,0,1,0,0,,2020-04-19
2020-04-22,Wed,721,0,0,0,0,,2020-04-25
2020-04-30,Thu,3742,1,1,0,0,2020-05-06,2020-05-04
2020-05-07,Thu,4461,1,1,0,0,2020-05-06,2020-05-06
2020-05-08,Fri,3479,1,1,0,0,2020-05-13,2020-05-07
2020-05-09,Sat,1910,0,0,0,0,,2020-05-26
2020-05-12,Tue,188,0,0,0,0,,2020-11-30
2020-05-14,Thu,2047,1,1,0,0,2020-05-16,2020-05-13
2020-05-15,Fri,3512,1,1,0,0,2020-05-17,2020-05-16
2020-05-16,Sat,4212,1,1,0,0,2020-05-22,2020-05-17
2020-05-21,Thu,4192,1,1,0,0,2020-05-23,2020-05-22
2020-05-22,Fri,2144,0,1,0,0,,2020-05-23
2020-05-23,Sat,3125,0,1,0,0,,2020-05-24
2020-05-28,Thu,1129,0,0,0,0,,2020-05-30
2020-06-22,Mon,663,1,0,0,0,2020-10-14,2020-10-14
2020-06-23,Tue,3754,1,1,0,0,2020-10-15,2020-10-14
2020-06-24,Wed,3771,1,1,1,0,2020-10-16,2020-10-15
2020-06-25,Thu,3479,1,1,0,0,2020-10-20,2020-10-16
2020-06-26,Fri,3962,1,1,0,0,2020-10-21,2020-10-20
2020-07-09,Thu,917,0,0,0,0,,2020-08-08
2020-07-15,Wed,1,0,0,0,0,,2020-07-17
2020-07-16,Thu,2280,1,1,0,0,2020-08-04,2020-07-17
2020-07-23,Thu,4224,1,1,0,0,2020-08-08,2020-08-05
2020-07-29,Wed,2683,1,1,0,0,2020-08-04,2020-08-04
2020-07-30,Thu,1626,1,0,0,0,2020-08-05,2020-08-04
2020-07-31,Fri,3713,0,1,0,0,,2020-10-10
2020-08-05,Wed,2,0,0,0,0,,2020-08-05
2020-08-07,Fri,4165,0,1,0,0,,2020-10-08
2020-08-14,Fri,4105,1,1,0,0,2020-10-08,2020-10-07
2020-08-21,Fri,4725,0,1,1,0,,2020-10-06
2020-08-28,Fri,5244,1,1,0,0,2020-10-06,2020-10-05
2020-09-04,Fri,2243,1,1,0,0,2020-10-05,2020-10-04
2020-09-11,Fri,3472,1,1,0,0,2020-10-04,2020-10-02
2020-09-18,Fri,5464,1,1,0,0,2020-10-02,2020-10-01
2020-09-21,Mon,4,0,0,0,0,,2020-10-14
2020-09-22,Tue,1675,1,1,0,0,2020-09-28,2020-09-28
2020-09-23,Wed,2052,0,0,0,0,,2020-09-28
2020-09-24,Thu,4397,0,1,0,0,,2020-09-25
2020-09-25,Fri,4642,1,1,0,0,2020-10-01,2020-09-30
2020-09-28,Mon,1060,1,0,0,1,2020-09-28,2020-09-28
2020-09-30,Wed,10,0,0,0,0,,2020-09-30
2020-10-01,Thu,6105,1,1,1,0,2020-09-30,2020-09-30
2020-10-02,Fri,3097,1,0,0,1,2020-10-01,2020-10-01
2020-10-12,Mon,1277,1,1,0,0,2020-10-13,2020-10-13
2020-10-13,Tue,940,1,0,0,1,2020-10-13,2020-10-13
2020-10-14,Wed,4551,1,1,0,0,2020-10-14,2020-10-13
2020-10-19,Mon,855,1,1,0,0,2020-10-21,2020-10-21
2020-10-20,Tue,1820,1,0,0,0,2020-10-22,2020-10-21
2020-10-21,Wed,1609,1,1,0,0,2020-10-22,2020-10-22
2020-10-22,Thu,4915,1,1,0,0,2020-10-24,2020-10-22
2020-10-23,Fri,4807,1,1,0,0,2020-10-25,2020-10-24
